DÍA 1;;;;;;DÍA 2;;;;;;DÍA 3;;;;;;DÍA 4;;;;;
Medición 1;;;Medición 2;;;Medición 3;;;Medición 4;;;Medición 5;;;Medición 6;;;Medición 7;;;Medición 8;;
=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;
AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado
310;65.39;MEDIO;307;66.26;MEDIO;253;81.90;OPTIMO;265;78.43;MEDIO;330;59.60;SECO;322;61.92;SECO;339;57.00;SECO;223;90.59;EXCESO
310;65.39;MEDIO;307;66.26;MEDIO;253;81.90;OPTIMO;265;78.43;MEDIO;330;59.60;SECO;323;61.63;SECO;340;56.71;SECO;224;90.30;EXCESO
310;65.39;MEDIO;307;66.26;MEDIO;253;81.90;OPTIMO;266;78.14;MEDIO;330;59.60;SECO;322;61.92;SECO;340;56.71;SECO;223;90.59;EXCESO
310;65.39;MEDIO;307;66.26;MEDIO;254;81.61;OPTIMO;266;78.14;MEDIO;331;59.31;SECO;323;61.63;SECO;340;56.71;SECO;224;90.30;EXCESO
310;65.39;MEDIO;307;66.26;MEDIO;254;81.61;OPTIMO;266;78.14;MEDIO;330;59.60;SECO;323;61.63;SECO;340;56.71;SECO;223;90.59;EXCESO
310;65.39;MEDIO;308;65.97;MEDIO;254;81.61;OPTIMO;266;78.14;MEDIO;331;59.31;SECO;324;61.34;SECO;340;56.71;SECO;223;90.59;EXCESO
310;65.39;MEDIO;308;65.97;MEDIO;254;81.61;OPTIMO;267;77.85;MEDIO;331;59.31;SECO;324;61.34;SECO;341;56.42;SECO;224;90.30;EXCESO
310;65.39;MEDIO;308;65.97;MEDIO;255;81.32;OPTIMO;268;77.56;MEDIO;330;59.60;SECO;325;61.05;SECO;341;56.42;SECO;222;90.88;EXCESO
310;65.39;MEDIO;308;65.97;MEDIO;255;81.32;OPTIMO;268;77.56;MEDIO;331;59.31;SECO;325;61.05;SECO;341;56.42;SECO;222;90.88;EXCESO
310;65.39;MEDIO;308;65.97;MEDIO;256;81.03;OPTIMO;268;77.56;MEDIO;331;59.31;SECO;325;61.05;SECO;341;56.42;SECO;222;90.88;EXCESO
